Cw_total_1,EL_t_1,Q_t_1,Sw_total_1,UnRate_1,Yw_total_1,Z_Q_1,inflation_1,shareOfBorrWorkers_t_1,wbarocc_1,Gini_bTax_1,Auton_1_1,basic_total_1_1,Gov_Balance_1_1,Gov_Total_1_1,Tax_Total_1_1,Gini_aTax_1_1,A_t_1_1,I_t_1_1,K_t_1_1,Q_fc_1_1,u_t_1_1,h_1_1,r_1_1,Yf_t_1_1,D_total_1_1,Mw_total_1_1,Gov_Debt_1_1,Ww_total_1_1
NA,30,3,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,2,3200,800,0.5,0.1,NA,NA,0,NA,0,NA
20.22394003,31,23.55394003,80.77605997,0.9938,101,0.1294985041,0,0.5012,0,3.441559469E-17,3.03,0.0202,-3.0502,3.0502,0,0,2.141267276,0.3,3136.3,1254.52,0.01877526068,0.097,0.01818181818,0,-80.77605997,80.77605997,3.0502,80.77605997
1024.899397,1030,1030.244429,-911.4857257,0.794,113.4136711,0.002990067127,0,0.5012,0.4004410038,0.1092525887,3.0603,0.0202,-3.0805,3.0805,0,0,93.65858445,2.284732183,3075.858732,1230.343493,0.8373632526,0.08942212003,0.0006827367521,-0,749.9336057,-830.7096657,6.1307,12.51406901
919.7994307,995,1015.016975,-401.1432153,0.801,518.6562154,0.003065074848,0,0.5012,0.4054914713,0.7638366278,3.090903,0.0202,-3.111103,3.111103,0,0,92.27427043,92.12664099,3106.468199,1242.587279,0.81685769,0.08975623015,0.03044957282,0,1981.786487,-1231.852881,9.241803,404.4902293
906.0160543,997,1000.241964,-426.5409027,0.8006,479.4751516,0.003141251962,0,0.5012,0.3803770368,0.7470387236,3.12181203,0.0202,-3.14201203,3.14201203,0,0,90.93108759,91.10409719,3135.442932,1254.177173,0.7975284396,0.08990753842,0.029703916,0,3640.18027,-1658.393784,12.38381503,685.5187153
1346.779892,1486,1439.862215,-658.8725162,0.7028,687.9073754,0.002203842922,0,0.5012,0.5886733956,0.8240802379,3.15303015,0.0202,-3.17323015,3.17323015,0,0,130.896565,89.92929277,3162.663366,1265.065346,1.138172205,0.08988531723,0.02900103417,0,5957.44657,-2317.2663,15.55704518,1188.347509
1097.387809,1252,1229.994841,-270.3971637,0.7496,826.990645,0.00260550723,0,0.5012,0.4885535969,0.8245564927,3.184560452,0.0202,-3.204760452,3.204760452,0,0,111.8177128,129.4224719,3228.83257,1291.533028,0.9523526029,0.09292498883,0.04138808018,0,8545.110034,-2587.663464,18.76180563,1787.776454
1283.211295,1420,1400.724958,-511.6172305,0.716,771.5940642,0.002310664944,0,0.5012,0.5356182621,0.8284460658,3.216406056,0.0202,-3.236606056,3.236606056,0,0,127.3386325,114.2972569,3278.553176,1311.42127,1.068096873,0.09434072522,0.03463100374,0,11644.39073,-3099.280694,21.99841169,2259.890189
1142.852928,1342,1278.246906,-416.3089313,0.7316,726.5439962,0.002557229047,0,0.5012,0.440523941,0.8032425409,3.248570117,0.0202,-3.268770117,3.268770117,0,0,116.2042642,132.1454083,3345.127521,1338.051008,0.9553050654,0.09686997056,0.03883988628,0,15159.98035,-3515.589625,25.26718181,2600.378809
1289.338316,1366,1416.443112,-506.2485301,0.7268,783.0897862,0.002330666011,0,0.5012,0.5082636261,0.8242133838,3.281055818,0.0202,-3.301255818,3.301255818,0,0,128.7675557,123.8237401,3402.04871,1360.819484,1.040875097,0.09837441027,0.03473836601,0,19181.81851,-4021.838156,28.56843762,2989.24516
944.1459376,1053,1086.80156,-418.3774364,0.7894,525.7685012,0.003067778424,0,0.5012,0.3109579072,0.7386564283,3.313866376,0.0202,-3.334066376,3.334066376,0,0,98.8001418,139.3417558,3473.349492,1389.339797,0.7822431649,0.1007440048,0.03785000352,0,23622.0341,-4440.215592,31.902504,3049.823637
1055.716149,1179,1168.551895,-592.9616947,0.7642,462.754454,0.002881519472,0,0.5012,0.34354649,0.7331570302,3.34700504,0.0202,-3.36720504,3.36720504,0,0,106.2319905,109.4887416,3513.371244,1405.348498,0.8315032872,0.1005651154,0.028445206,0,28655.21139,-5033.177287,35.26970904,3013.356441
1067.546047,1209,1188.442078,-547.5642935,0.7582,519.9817535,0.002861456316,0,0.5012,0.355370444,0.7518239467,3.38047509,0.0202,-3.40067509,3.40067509,0,0,108.0401889,117.5155562,3560.619375,1424.24775,0.8344349346,0.1008819285,0.03023648317,0,34235.95297,-5580.74158,38.67038413,3037.23748
1390.71539,1503,1514.021999,-652.538815,0.6994,738.1765751,0.002268447779,0,0.5012,0.527027771,0.8230099782,3.414279841,0.0202,-3.434479841,3.434479841,0,0,137.6383635,119.8923288,3609.299316,1443.719727,1.048695236,0.1012293148,0.03034308853,0,40469.23336,-6233.280395,42.10486397,3313.067784
1324.906218,1471,1481.618051,-466.6654184,0.7058,858.2408,0.002341104469,0,0.5012,0.5038195609,0.8305382099,3.44842264,0.0202,-3.46862264,3.46862264,0,0,134.6925501,153.2634095,3690.37674,1476.150696,1.003703792,0.1037468396,0.0381343722,0,47169.17918,-6699.945814,45.57348661,3708.518332
1083.059057,1194,1240.255154,-464.3119355,0.7612,618.7471217,0.002824504985,0,0.5012,0.3519694913,0.7671522714,3.482906866,0.0202,-3.503106866,3.503106866,0,0,112.7504686,153.7131903,3770.282395,1508.112958,0.8223887658,0.1058602021,0.0364983197,0,54333.43693,-7164.257749,49.07659348,3793.895667
1199.091288,1368,1333.902685,-639.8989351,0.7264,559.1923529,0.002652319374,0,0.5012,0.3837456892,0.7676306787,3.517735935,0.0202,-3.537935935,3.537935935,0,0,121.2638805,131.2936613,3826.170408,1530.468163,0.8715651309,0.10609721,0.02990504603,0,62137.59361,-7804.156684,52.61452941,3782.828596
1291.978154,1416,1437.05442,-592.5724406,0.7168,699.4057131,0.002486414741,0,0.5012,0.4374310768,0.7996439258,3.552913294,0.0202,-3.573113294,3.573113294,0,0,130.6413109,141.5233533,3891.170354,1556.468141,0.9232790457,0.1068564961,0.03169327749,0,70534.32273,-8396.729125,56.18764271,3915.41923
1314.937143,1450,1472.084185,-586.9834379,0.71,727.9537048,0.002451383191,0,0.5012,0.4427639158,0.8050000109,3.588442427,0.0202,-3.608642427,3.608642427,0,0,133.825835,153.5586,3966.905547,1586.762219,0.9277282808,0.1081738128,0.03357378348,0,79518.0353,-8983.712563,59.79628513,4061.885974
1380.304505,1481,1543.169791,-561.0545655,0.7038,819.2499396,0.002361714746,0,0.5012,0.4953447859,0.8250796148,3.624326851,0.0202,-3.644526851,3.644526851,0,0,140.2881628,159.240959,4046.808395,1618.723358,0.9533252137,0.1095554983,0.03373557385,0,89062.80242,-9544.767128,63.44081198,4337.656035
1544.982265,1735,1717.705571,-606.6365409,0.653,938.3457243,0.002142841115,0,0.5012,0.5653921163,0.8448241137,3.66057012,0.0202,-3.68077012,3.68077012,0,0,156.1550519,169.0627354,4134.934962,1653.973985,1.038532399,0.1112352603,0.03466637141,0,99214.20609,-10151.40367,67.1215821,4716.19137
1168.082552,1355,1362.849154,-444.8233332,0.729,723.2592189,0.002727650239,0,0.5012,0.3586508466,0.7765070662,3.697175821,0.0202,-3.717375821,3.717375821,0,0,123.8953777,191.0694263,4243.305689,1697.322276,0.8029407106,0.1138885817,0.03776481452,0,109810.4331,-10596.227,70.83895793,4808.763039
1277.573691,1462,1436.520796,-653.166259,0.7076,624.4074318,0.002613500334,0,0.5012,0.3862785475,0.7792560031,3.734147579,0.0202,-3.754347579,3.754347579,0,0,130.5927996,155.2129572,4313.652533,1725.461013,0.8325431781,0.113922073,0.02919784402,0,121059.8264,-11249.39326,74.5933055,4766.178445
